Item,Location,Payment Method,Transaction ID,Transaction_Date,Sum of Total_Sales,Sum of Quantity,Sum of Price Per Unit
Cake,Takeaway,Cash,TXN_1225638,2023-05-28 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_1342359,2023-07-14 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_1419669,2023-03-07 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_1443928,2023-12-03 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_1603186,2023-10-13 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_1605048,2023-03-16 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_1851725,2023-02-19 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_1921415,2023-11-03 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_2031459,2023-07-04 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_2208949,2023-08-05 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_2227781,2023-01-21 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_2541441,2023-09-21 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_2550923,2023-08-26 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_2560137,2023-10-13 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_2562041,2023-12-24 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_2601923,2023-07-24 00:00:00,,4,
Cake,Takeaway,Cash,TXN_2666340,2023-09-29 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_2727347,2023-01-20 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_2825812,2023-06-26 00:00:00,,3,
Cake,Takeaway,Cash,TXN_2925996,2023-04-11 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_3326626,2023-09-26 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_3381656,2023-10-26 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_3383926,2023-07-08 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_3669068,2023-01-17 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_3691228,2023-10-26 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_3720223,2023-10-22 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_3800253,2023-01-15 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_3866162,2023-06-08 00:00:00,15,5,3
